id,parent__id,term.de,term.en,definition.de,definition.en,abbreviations.en,abbreviations.de,synonyms.en,synonyms.de,iris,taxonomyURI,review.status__id,review.reviewer__contactsId,review.log
befidesh/facility/accelerator-based-facility/particle-collider/circular-particle-collider/muon-collider,befidesh/facility/accelerator-based-facility/particle-collider/circular-particle-collider,Myon-Collider,Muon Collider,"Ein Myon-Collider ist ein ringbasierter Doppelbeschleuniger, in dem Myonen (elektronenähnliche Teilchen mit der 206-fachen Masse) zur Kollision gebracht werden. Das Konzept befindet sich derzeit in der Konzeptionsphase und hat gegenüber Elektronencollidern wesentliche Vorteile. Aufgrund der höheren Masse verlieren die Teilchen weniger Energie durch  Synchrotronstrahlung, so dass ein 10 km Myon-Collider ähnliche Energien erreichen könnte wie ein 90 km Protonen-Collider. Die größten technischen Herausforderungen sind die kurze Lebensdauer der Myonen (2,2 µs), die eine schnelle Beschleunigung erfordert. Außerdem wird eine kontinuierliche Myonenquelle benötigt. Trotz der technischen Herausforderungen zeigen diese Fortschritte, dass ein Myon-Collider eine realistische Option für zukünftige Hochenergiephysik-Experimente sein könnte.",,"","","","","",befidesh,01: preparation,,
befidesh/facility/accelerator-based-facility/particle-collider/higgs-factory,befidesh/facility/accelerator-based-facility/particle-collider,Higgs-Fabrik,Higgs Factory,"Als Higgs-Fabrik wird die dem LHC-nachfolgende Generation eines Teilchen-Colliders für die Hochenergiephysik bezeichnet, bei der anstelle von Protonen Elektronen und ihre Antiteilchen kollidieren.",,"","","","","",befidesh,01: preparation,,
befidesh/facility/accelerator-based-facility/particle-collider/linear-particle-collider,befidesh/facility/accelerator-based-facility/particle-collider,Linearcollider,Linear Collider,"Ein Linear-Collider ist eine Doppelbeschleuniger-Anlage, die aus zwei Linear-Beschleunigern besteht.",,"","","","","",befidesh,01: preparation,,
befidesh/facility/accelerator-based-facility/photon-source/,befidesh/facility/accelerator-based-facility/photon-source,Beschleuniger-basierte Photonenquelle,Photon Source,"In beschleunigerbasierten Photonenquellen werden beschleunigte Teilchen genutzt, um hochintensive Lichtblitze für wissenschaftliche Untersuchungen zu erzeugen.  SIe sind unverzichtbare Werkzeuge für  Spitzenforschung in zahlreichen wissenschaftlichen Disziplinen und tragen wesentlich zu Innovationen in Bereichen wie Gesundheit, Energie, Umwelt und Informationstechnologie bei. Zwei Arten von Photonenquellen ergänzen sich in ihren Eigenschaften: Synchrotronquellen erzeugen kurze Lichtpulse mit hoher Gesamtintensität, Freie-Elektronen-Laser erzeugen ultrakurze, extrem intensive Laserblitze.",,"","","","","",befidesh,01: preparation,,
befidesh/facility/accelerator-based-facility/photon-source/free-electron-laser/,befidesh/facility/accelerator-based-facility/photon-source/free-electron-laser,Freie-Elektronen-Laser,Free-Electron Laser,"Freie-Elektronen Laser (FEL) sind beschleunigerbasierte Photonenquellen, die hochintensive, extrem kurze, laserartige Strahlungspulse erzeugen. Aufgrund der Kürze der Pulse lassen sich ultraschnelle Prozesse untersuchen.",,"","","","","",befidesh,01: preparation,,
befidesh/facility/accelerator-based-facility/photon-source/free-electron-laser/seeded,befidesh/facility/accelerator-based-facility/photon-source/free-electron-laser,Geimpfter Freie-Elektronen-Laser,Seeded Free-Electron Laser,,,"","","","","",befidesh,01: preparation,,
befidesh/facility/accelerator-based-facility/photon-source/synchrotron-light-source,befidesh/facility/accelerator-based-facility/photon-source,Synchrotronlichtquelle,Synchrotron Radiation Source,"Synchrotronstrahlungsquellen sind beschleunigerbasierte Photonenquellen, in denen Elektronen auf nahezu Lichtgeschwindigkeit beschleunigt und auf einer ringförmigen Bahn in einem Speicherring gehalten werden.  Durch Ablenkung der Elektronen in speziellen magnetischen Strukturen (Undulatoren und Wiggler) wird parallel zur Bewegungsrichtung Synchrotronstrahlung erzeugt.",,"","","","","",befidesh,01: preparation,,
befidesh/facility/accelerator-based-facility/photon-source/synchrotron-light-source/3rd-generation,befidesh/facility/accelerator-based-facility/photon-source/synchrotron-light-source,Synchrotronlichtquelle (3. Generation),Synchrotron Radiation Source (3rd Generation),,,"","","","","",befidesh,01: preparation,,
befidesh/facility/accelerator-based-facility/photon-source/synchrotron-light-source/4th-generation,befidesh/facility/accelerator-based-facility/photon-source/synchrotron-light-source,Synchrotronlichtquelle (4. Generation),Synchrotron Radiation Source (4th Generation),,,"","","","","",befidesh,01: preparation,,
befidesh/facility/laser-facility,befidesh/facility,Laseranlage,Laser Facility,,,"","","","","",befidesh,01: preparation,,
generic/funding-program/,generic/funding-program,Forschungsförderung,Funding Program,,,"","","","","",generic,01: preparation,,
generic/funding-program/bmbf/,generic/funding-program/bmbf,Förderprogramme des Bundesministeriums für Bildung und Forschung,Funding Program Of The German Ministry Of Education And Research,,,"","",BMBF Programmes,BMBF-Programme,"",generic,01: preparation,,
generic/funding-program/bmbf/erum/,generic/funding-program/bmbf/erum,BMBF-Rahmenprogramm zur Erforschung von Universum und Materie,Bmbf Framework Program For Research On The Universe And Matter (Erum),,,"","",Framework programme ErUM,Rahmenprogramm ErUM,"",generic,01: preparation,,
generic/funding-program/bmbf/erum/:erum-data,generic/funding-program/bmbf/erum,Aktionsplan ErUM-Data,Action Plan,"ErUM-Aktionsplan mit dem Ziel, das Potenzial von Daten und Digitalisierung bei der Erforschung von Universum und Materie an Forschungsinfrastrukturen voll auszuschöpfen. Der Fokus liegt auf der interdisziplinären Entwicklung und dem Transfer von digitalen Werkzeugen und Kompetenzen.",,"","","","","",generic,01: preparation,,
generic/funding-program/bmbf/erum/:erum-pro,generic/funding-program/bmbf/erum,Aktionsplan ErUM-Pro,Action Plan Erum-Pro,"ErUM-Aktionsplan für die Projektförderung zur Vernetzung von Hochschulen, Forschungsinfrastrukturen und Gesellschaft",,"","","","","",generic,01: preparation,,
generic/funding-program/bmbf/erum/:erum-transfer,generic/funding-program/bmbf/erum,Aktionsplan ErUM-Transfer,Action Plan Erum-Transfer,"ErUM-Aktionsplan mit dem Ziel, das Potenzial neuer Erkenntnisse und Technologien aus der naturwissenschaftlichen Grundlagenforschung an Forschungsinfrastrukturen für Wirtschaft und Gesellschaft zu erschließen. Der Charakter der Neugier getriebenen Grundlagenforschung soll dabei erhalten bleiben.",,"","","","","",generic,01: preparation,,
generic/funding-program/dfg-funding-program/,generic/funding-program/dfg-funding-program,Förderprogramme der Deutschen Forschungsgemeinschaft (DFG),Funding Program Of The German Research Foundation (Dfg),,,"","","",DFG-Förderprogramme,"",generic,01: preparation,,
generic/funding-program/dfg-funding-program/cluster-of-excellence,generic/funding-program/dfg-funding-program,Exzellenzcluster,Cluster Of Excellence,,,"","","","","",generic,01: preparation,,
generic/funding-program/dfg-funding-program/research-training-groups,generic/funding-program/dfg-funding-program,Graduiertenkolleg,Research Training Group,Graduiertenkollegs sind von der DFG geförderte Programme der Hochschulen zur Unterstützung des wissenschaftlichen Nachwuchses. Sie konzentrieren sich auf die Qualifizierung von Promovierenden im Rahmen eines fokussierten Forschungsprogramms und einer strukturierten Ausbildungsstrategie.,Research Training Groups are DFG-funded  programmes set up by universities to support young researchers. They focus on the qualification of doctoral researchers within the framework of a focused research programme and a structured training strategy.,"","","","","",generic,01: preparation,,
generic/funding-program/eu/,generic/funding-program/eu,Förderprogramme der Europäischen Union,Funding Program Of The European Union,,,"","","","","",generic,01: preparation,,
generic/funding-program/eu/:fp6,generic/funding-program/eu,6. EU-Forschungsrahmenprogramm,6th Eu Research Framework Program,,,"","",FP6,FP6,"",generic,01: preparation,,
generic/funding-program/eu/:fp7,generic/funding-program/eu,7. EU-Forschungsrahmenprogramm,7th Eu Research Framework Program,,,"","",FP7,FP7,"",generic,01: preparation,,
generic/funding-program/eu/:horizon-2020,generic/funding-program/eu,Horizont 2020,Horizon 2020,"Horizont 2020 (2013 bis 2020) war das erste Rahmenprogramm für Forschung und Innovation. Es markiert einen Paradigmenwechsel hin zu einer wesentlich stärkeren Innovationsorientierung der Rahmenprogramme. Horizont 2020 deckt die gesamte Innovationskette ab: Von den ersten Ideen für die Grundlagenforschung bis hin zu fertig entwickelten neuartigen Produkten, Dienstleistungen und Verfahren für Markt und Gesellschaft bietet Horizont 2020 auf europäischer Ebene eine Vielzahl von effektiven Förder- und Unterstützungsmaßnahmen und schafft damit die besten Voraussetzungen für Innovationen.",,"","","","","",generic,01: preparation,,
generic/funding-program/eu/:horizon-europe,generic/funding-program/eu,Horizont Europa,Horizon Europe,"Horizont Europa (2021 bis 2027) ist das aktuelle Rahmenprogramm für Forschung und Innovation. Es gilt als das neunte Forschungsrahmenprogramm und es ist das zweite, das auch den Begriff Innovation im Titel trägt. Es ist das weltweit größte Einzelförderprogramm für Forschung und Innovation.",,"","","","","",generic,01: preparation,,
generic/funding-program/hgf/,generic/funding-program/hgf,Förderprogramme der Helmholtz-Gemeinschaft,By The Helmholtz Association,,,"","",Helmholtz funding programmes,Helmholtz Förderprogramme,"",generic,01: preparation,,
generic/funding-program/hgf/pof,generic/funding-program/hgf,Programmorientierte Förderung (PoF) in der Helmholtz-Gemeinschaft,Program Oriented Funding (Pof) Of The Helmholtz Association,"In der Programmorientierten Förderung der Helmholtz-Gemeinschaft (PoF) konkurrieren zentrenübergreifende Forschungsprogramme um Fördermittel. Die Beschleunigerforschung der insgesamt sieben in diesem Bereich aktiven Zentren ist im Programm ""Materie und Technologien"" gebündelt. 


","In the Helmholtz Association's programme-oriented funding (PoF), cross-centre research programmes compete for funding. The accelerator research of the seven centres active in this field is bundled in the ‘Matter and Technologies’ programme. ","","",HGF-PoF,HGF-PoF,"",generic,01: preparation,,
generic/information-content-entity/,generic/information-content-entity,Publikationstyp,Publication Type,,,"","","","",https://ontobee.org/ontology/IAO?iri=http://purl.obolibrary.org/obo/IAO_0000030,generic,01: preparation,,
generic/information-content-entity/database,generic/information-content-entity,Datenbank,Database,,,"","","","","",generic,01: preparation,,
generic/information-content-entity/report/,generic/information-content-entity/report,Bericht,Reports,,,"","","","","",generic,01: preparation,,
generic/information-content-entity/report/annual-report,generic/information-content-entity/report,Jahresbericht,Annual Report,,,"","","","","",generic,01: preparation,,
generic/information-content-entity/report/design-report/,generic/information-content-entity/report/design-report,Bericht zum Konzept,Design Report,,,"","","","","",generic,01: preparation,,
generic/information-content-entity/report/design-report/conceptual-design-report,generic/information-content-entity/report/design-report,Bericht zum konzeptionellen Gestaltungsplan,Conceptual Design Report,,,"","","","","",generic,01: preparation,,
generic/information-content-entity/report/design-report/technical-design-report,generic/information-content-entity/report/design-report,Bericht zum technischen Gestaltungsplan,Technical Design Report,,,"","","","","",generic,01: preparation,,
generic/information-content-entity/repository,generic/information-content-entity,Repository,Repository,,"A repository, often abbreviated as ""repo"", is a centralized digital storage location used to store, manage, and organize various types of data, files, and resources. ","","","","","",generic,01: preparation,,
generic/information-content-entity/strategies-and-roadmaps,generic/information-content-entity,Strategie und/oder Roadmap,Strategy And/Or Roadmap,,,"","","","","",generic,01: preparation,,
generic/information-content-entity/strategy-workshop-contributions,generic/information-content-entity,Beitrag zum Strategieworkshop,Strategy Workshop Paper,,,"","","","","",generic,01: preparation,,
generic/information-content-entity/thesis/,generic/information-content-entity/thesis,Abschlussarbeit,Thesis,,,"","","","","",generic,01: preparation,,
generic/information-content-entity/thesis/bachelor-thesis,generic/information-content-entity/thesis,Bachelor-Arbeit,Bachelor Thesis,,,"","","","","",generic,01: preparation,,
generic/information-content-entity/thesis/doctoral-thesis,generic/information-content-entity/thesis,Doktorarbeit,Doctoral Thesis,,,"","","","","",generic,01: preparation,,
generic/information-content-entity/thesis/doctoral-thesis/dr.-ing.,generic/information-content-entity/thesis/doctoral-thesis,Doktorarbeit (Dr.-Ing.),Doctoral Thesis (Dr.-Ing.),,,"","","","","",generic,01: preparation,,
generic/information-content-entity/thesis/doctoral-thesis/dr.rer.nat.,generic/information-content-entity/thesis/doctoral-thesis,Dissertation (Dr. rer. nat.),Doctoral Dissertation (Dr. Rer. Nat.),,,"","","","","",generic,01: preparation,,
generic/information-content-entity/thesis/doctoral-thesis/phd,generic/information-content-entity/thesis/doctoral-thesis,Doktorarbeit (PhD),Doctoral Thesis (Phd),,,"","","","","",generic,01: preparation,,
generic/information-content-entity/thesis/master-thesis,generic/information-content-entity/thesis,Masterarbeit,Masters Thesis,,,"","","","","",generic,01: preparation,,
generic/information-content-entity/website,generic/information-content-entity,Web-Präsenz,Web Page,,,"","","","","",generic,01: preparation,,
generic/organization/,generic/organization,Organisation,Organization,,,"","","","","",generic,01: preparation,,
generic/organization/committee,generic/organization,Komitee,Committee,"Gruppe von Personen, die von einer Organisation einberufen wird, um gemeinsam an bestimmten Aufgaben, Projekten oder Empfehlungen zu arbeiten. ","Group of people appointed by an organisation to work together on specific tasks, projects or recommendations. ","","","","","",generic,01: preparation,,
generic/organization/committee/erum-committee,generic/organization/committee,ErUM-Komitee,Erum Committee,,,"","","","","",generic,01: preparation,,
generic/organization/consortium,generic/organization,Konsortium,Consortium,,,"","","","",https://ise-fizkarlsruhe.github.io/nfdicore/#NFDI_0000006,generic,01: preparation,,
generic/organization/formal-organization,generic/organization,Formale Organisation,Formal Organization,,,"","","","","",generic,01: preparation,,
generic/organization/formal-organization/department,generic/organization/formal-organization,Abteilung,Department,,,"","","","","",generic,01: preparation,,
generic/organization/formal-organization/sub-department,generic/organization/formal-organization,Unterabteilung,Sub-Department,,,"","","","","",generic,01: preparation,,
generic/organization/funding-orgainzation,generic/organization,Forschungsförderer,Research Funder,,,"","","","","",generic,01: preparation,,
generic/organization/research-institution,generic/organization,Forschungseinrichtung,Research Institution,,,"","","","","",generic,01: preparation,,
generic/organization/university,generic/organization,Universität,University,,,"","","","","",generic,01: preparation,,
generic/organization/working-group,generic/organization,Arbeitsgruppe,Working Group,,,"","","","","",generic,01: preparation,,
generic/person/,generic/person,Person,Person,,,"","","","","",generic,01: preparation,,
generic/person/gender/,generic/person/gender,Geschlecht,Gender,,,"","","","","",generic,01: preparation,,
generic/person/gender/female,generic/person/gender,weiblich,Female,,,"","","","","",generic,01: preparation,,
generic/person/gender/male,generic/person/gender,männlich,Male,,,"","","","","",generic,01: preparation,,
generic/person/gender/non-binary,generic/person/gender,nicht-binär,Non-Binary,,,"","","","","",generic,01: preparation,,
generic/project/,generic/project,Projekt,Project,,A process of a scientific or business endeavor that aims to conclude an investigation or to answer a research question.,"","","","",https://ise-fizkarlsruhe.github.io/nfdicore/#NFDI_0000002,generic,01: preparation,,
befidesh/accelerator-research-topic/,befidesh/accelerator-research-topic,Themen der Beschleunigerforschung,Accelerator Research Topic,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-research-topic/green-transformation,befidesh/accelerator-research-topic,Grüne Transformation,Green Transformation,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-research-topic/magnets,befidesh/accelerator-research-topic,Magnete,Magnet,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-research-topic/magnets/superconducting,befidesh/accelerator-research-topic/magnets,Supraleitende Magnete,Superconducting,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-research-topic/plasma-acceleration,befidesh/accelerator-research-topic,Plasmabasierte Beschleunigung,Plasma Acceleration,,,"","","","","",befidesh,01: preparation,,
generic/strategic-issue/,generic/strategic-issue,Strategisches Thema,Strategic Issue,,,"","","","","",generic,01: preparation,,
generic/academic-teaching/,generic/academic-teaching,Akademische Lehre,Academic Teaching,,,"","","","","",generic,01: preparation,,
generic/academic-teaching/academic-study-programme/,generic/academic-teaching/academic-study-programme,Studiengang,Study Program,"Eine zusammenhängende Abfolge von Bildungsaktivitäten, die organisiert sind, um bestimmte Lernziele zu erreichen. Dazu können Lehrveranstaltungen, Module, Forschungsprojekte und weitere Bestandteile gehören.","A coherent set or sequence of educational activities, organized to achieve specific learning objectives, which may include courses, modules, research projects, and other components","","","","","",generic,01: preparation,,
generic/academic-teaching/academic-study-programme/bachelor-degree-programme,generic/academic-teaching/academic-study-programme,Bachelor-Studiengang,Bachelor Program,"Ein Studienprogramm an einer Hochschule oder Universität, das zu einem Bachelor-Abschluss. Es dauert in der Regel zwei bis vier Jahre.",A study program at a college or university that leads to a Bachelor's degree. It usually takes two to four years.,"","",Bachelor,Bachelor,"",generic,01: preparation,,
generic/academic-teaching/academic-study-programme/doctoral-programme,generic/academic-teaching/academic-study-programme,Doktorat,Doctoral Program,"Ein Studienprogramm, das zum höchsten akademischen Grad (Doktor/PhD) führt. Es konzentriert sich auf eigenständige Forschung und setzt in der Regel einen vorherigen Master-Abschluss voraus.",A study program leading to the highest academic degree (doctorate/PhD). It focuses on independent research and usually requires a previous Master's degree.,"","",Doctorate,Promotion,"",generic,01: preparation,,
generic/academic-teaching/academic-study-programme/doctoral-programme/graduiertenkolleg,generic/academic-teaching/academic-study-programme/doctoral-programme,Graduiertenkolleg,Research Training Group,"Graduiertenkollegs sind von der DFG finanziell geförderte Einrichtungen der Hochschulen zur frühzeitigen Nachwuchsförderung. Im Mittelpunkt steht die Qualifizierung von Promovierenden im Rahmen eines thematisch fokussierten Forschungsprogramms und eines strukturierten Qualifizierungskonzepts. Eine interdisziplinäre Ausrichtung der Graduiertenschulen ist erwünscht. Ziel ist es, die Promovierenden intensiv auf den komplexen wissenschaftlichen Arbeitsmarkt vorzubereiten und gleichzeitig ihre frühe wissenschaftliche Selbstständigkeit zu unterstützen.",Research Training Groups (Graduiertenkolleg) are university institutions funded by the DFG for the early promotion of young researchers. The focus is on the qualification of doctoral students within the framework of a thematically focused research programme and a structured qualification concept. An interdisciplinary orientation of the graduate schools is desirable. The aim is to prepare doctoral students intensively for the complex academic labour market and at the same time to support their early academic independence.,"","","","","",generic,01: preparation,,
generic/academic-teaching/academic-study-programme/doctoral-programme/graduiertenschule,generic/academic-teaching/academic-study-programme/doctoral-programme,Graduiertenkolleg,Graduate School,"Graduiertenkollegs sind von der DFG finanziell geförderte Einrichtungen der Hochschulen zur frühzeitigen Nachwuchsförderung. Im Mittelpunkt steht die Qualifizierung von Promovierenden im Rahmen eines thematisch fokussierten Forschungsprogramms und eines strukturierten Qualifizierungskonzepts. Eine interdisziplinäre Ausrichtung der Graduiertenschulen ist erwünscht. Ziel ist es, die Promovierenden intensiv auf den komplexen wissenschaftlichen Arbeitsmarkt vorzubereiten und gleichzeitig ihre frühe wissenschaftliche Selbstständigkeit zu unterstützen.",Research Training Groups (Graduiertenkolleg) are university institutions funded by the DFG for the early promotion of young researchers. The focus is on the qualification of doctoral students within the framework of a thematically focused research programme and a structured qualification concept. An interdisciplinary orientation of the graduate schools is desirable. The aim is to prepare doctoral students intensively for the complex academic labour market and at the same time to support their early academic independence.,"","","","","",generic,01: preparation,,
generic/academic-teaching/academic-study-programme/master-degree-programme,generic/academic-teaching/academic-study-programme,Master-Studiengang,Master Program,"Ein postgraduales Studienprogramm, das auf einen Bachelor-Abschluss folgt, in der Regel ein bis zwei Jahre dauert und darauf abzielt, vertiefte Kenntnisse und Fähigkeiten in einem bestimmten Fachgebiet zu vermitteln. Es schließt mit dem Master-Abschluss ab.","A postgraduate academic program that follows a bachelor’s degree, typically lasting one to two years, designed to provide advanced knowledge and skills in a specific field, culminating in a master’s degree.
","","",Master,Master,"",generic,01: preparation,,
generic/academic-teaching/academic-teaching-event/,generic/academic-teaching/academic-teaching-event,Lehrveranstaltung,Teaching Event,Unterrichtseinheit im Rahmen eines  Studiums an einer Universität oder Hochschule,Teaching unit as part of a course of study at a university or college,"","","","","",generic,01: preparation,,
generic/academic-teaching/academic-teaching-event/block,generic/academic-teaching/academic-teaching-event,Blocklehrveranstaltung,Block Course,"Lehrveranstaltung, die sich nicht über ein ganzes Semester erstreckt, sondern in einem zusammenhängenden Zeitraum von einigen Tagen, seltener einigen Wochen stattfindet.","Teaching event that does not extend over an entire semester, but takes place over a continuous period of a few days, or in rare cases a few weeks.","","","","","",generic,01: preparation,,
generic/academic-teaching/academic-teaching-event/lecture-exercise,generic/academic-teaching/academic-teaching-event,Übung zur Vorlesung,Lecture Exercise,"Lehrveranstaltung, die den Inhalt einer Vorlesung bei der Lösung von Problemstellungen anwendet.",Teaching event in which the solution of assignments (usually in conjunction with a lecture) is presented.,"","",Exercise,Übung,"",generic,01: preparation,,
generic/academic-teaching/academic-teaching-event/laboratory-practical,generic/academic-teaching/academic-teaching-event,Laborpraktikum,Lab Practical,Lehrveranstaltung zur Vermittlung praktischer Kenntnisse und Erfahrungen im Labor,Teaching event to acquire practical knowledge and experience in the laboratory,"","",Lab,Praktikum,"",generic,01: preparation,,
generic/academic-teaching/academic-teaching-event/lecture,generic/academic-teaching/academic-teaching-event,Vorlesung,Lecture,Lehrveranstaltung in Form eines (folien- oder tafelgestützten) Vortrages,Teaching event in the form of a (slide or board-based) oral presentation,"","","","","",generic,01: preparation,,
generic/academic-teaching/academic-teaching-event/seminar,generic/academic-teaching/academic-teaching-event,Seminar,Seminar,Lehrveranstaltung mit aktiver Beteiligung der Teilnehmenden,Teaching event with active engagement of the participants,"","","","","",generic,01: preparation,,
generic/academic-teaching/academic-teaching-event/proseminar,generic/academic-teaching/academic-teaching-event,Proseminar,Undergraduate Seminar,Seminar für Bachelor-Studierende,Seminar for bachelor students,"","","","","",generic,01: preparation,,
generic/academic-teaching/academic-teaching-event/hauptseminar,generic/academic-teaching/academic-teaching-event,Hauptseminar,Graduate Seminar,Seminar für Masterstudierende,Seminar for master students,"","","","","",generic,01: preparation,,
generic/academic-teaching/academic-teaching-event/excursion,generic/academic-teaching/academic-teaching-event,Exkursion,Field Trip,Lehrveranstaltung in Form der Besichtigung eines Betriebes oder einer Forschungseinrichtung,Teaching event in the form of a company or research facility visit,"","","","","",generic,01: preparation,,
befidesh/accelerator/erl,befidesh/accelerator,Linearbeschleuniger mit Energierückgewinnung,Energy Recovery Linac,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator/microtron/circular-microtron,befidesh/accelerator/microtron,Kreismikrotron,Circular Microtron,"Ein Mikrotron, das mit einem einzigen großen Magneten Teilchenbahnen aus immer größer werdenden Kreisen erzeugt.",A microtron that uses a single large magnet to create particle paths made up of ever-larger circles.,"","","","","",befidesh,01: preparation,,
befidesh/accelerator/microtron/racetrack-microtron,befidesh/accelerator/microtron,Rennbahn-Mikrotron,Racetrack Microtron,"Ein Mikrotron, das mit Hilfe von zwei Magneten Teilchenbahnen erzeugt, die immer größer werdenden Rennbahnen entsprechen. Dies ermöglicht größere Beschleunigungskomponenten und höhere Energien.","A microtron that uses two magnets to create particle paths made up of ever-larger racetracks, allowing for larger accelerating components and higher energies.","","","","","",befidesh,01: preparation,,
befidesh/facility/facility-complex/,befidesh/facility/facility-complex,Anlagenkomplex für Forschung,Research Facility Complex,"Ein Anlagenkomplex für Forschung ist eine Kombination aus miteinander verbundenen Ressourcen, die zur Unterstützung einer Reihe von Forschungsaktivitäten vorgesehen sind. Im Gegensatz zu einer einzelnen Forschungsanlage erstreckt sich ein Forschungsanlagenkomplex über mehrere Einrichtungen und oft auch Gebäude. Dazu gehören Instrumente, Labore, Verwaltungsbüros und Räume für die Zusammenarbeit.","A research facility complex is a combination of interconnected resources designed to support a range of research activities. Unlike a single research facility, a research facility complex spans multiple facilities and often buildings. These include instrumentation, laboratories, administrative offices and collaborative spaces.","","","","","",befidesh,01: preparation,,
befidesh/facility/accelerator-based-facility/ion-beam-facility,befidesh/facility/accelerator-based-facility,Ionenstrahl-Anlage,Ion Beam Facility,"Beschleunigerbasierte Anlage zur Erzeugung und Manipulation von Ionenstrahlen für wissenschaftliche und technologische Anwendungen in Bereichen wie Kernphysik, Mikroelektronik, Lebenswissenschaften und Umweltstudien.","Accelerator-based facility for the generation and manipulation of ion beams for scientific and technological applications in fields such as nuclear physics, microelectronics, life sciences and environmental studies.","","","","","",befidesh,01: preparation,,
befidesh/facility-life-cycle/,befidesh/facility-life-cycle,Lebenszyklus-Stufen einer Forschungsanlage,Facility Life Cycle Stages,,,"","","","","",befidesh,01: preparation,,
befidesh/facility-life-cycle/1_design,befidesh/facility-life-cycle,1. Entwurfphase,1. Design,"Die Entwurfsphase konzentriert sich auf die Planung und Definition der Struktur, der Funktionalität und der technischen Aspekte eines Projekts oder Systems. Sie ist in zwei Hauptunterphasen unterteilt:","The Design phase focuses on planning and defining the structure, functionality, and technical aspects of a project or system. It is divided into two main sub-phases:","","","","","",befidesh,01: preparation,,
befidesh/facility-life-cycle/1.1_conceptual_design,befidesh/facility-life-cycle,1.1 konzeptioneller Entwurf,1.1 Conceptual Design,"In dieser Phase geht es um Planung und Ideenfindung auf hoher Ebene, um die allgemeine Vision und den Zweck des Projekts zu umreißen.",This stage involves high-level planning and ideation to outline the overall vision and purpose of the project.,"","","","","",befidesh,01: preparation,,
befidesh/facility-life-cycle/1.1.1_creating_conceptual_design,befidesh/facility-life-cycle,1.1.1 Erstellung des konzeptionellen Entwurfs,1.1.1 Conceptual Design Creation,"Der Prozess des Brainstormings und des Entwurfs des ursprünglichen Konzepts, einschließlich der Ziele, des Umfangs und der Machbarkeit.","The process of brainstorming and drafting the initial concept, including goals, scope, and feasibility.","","","","","",befidesh,01: preparation,,
befidesh/facility-life-cycle/1.1.2_conceptionally-designed,befidesh/facility-life-cycle,1.1.2 konzeptionell entworfen,1.1.2 Conceptually Designed,"Die Fertigstellung des konzeptionellen Entwurfs, der eine klare Vision oder Blaupause für das Projekt darstellt.","The completion of the conceptual design, resulting in a clear vision or blueprint for the project.","","","","","",befidesh,01: preparation,,
befidesh/facility-life-cycle/1.2.2_technically-designed,befidesh/facility-life-cycle,1.2.2 technisch entworfen,1.2.2 Technically Designed,"Die Fertigstellung des technischen Entwurfs, bereit für die Implementierung.","The finalization of the technical design, ready for implementation.","","","","","",befidesh,01: preparation,,
befidesh/facility-life-cycle/1.2_technical_design,befidesh/facility-life-cycle,1.2 technischer Entwurf,1.2 Technical Design,In dieser Phase wird der konzeptionelle Entwurf in detaillierte technische Spezifikationen und Pläne umgesetzt.,This phase translates the conceptual design into detailed technical specifications and plans.,"","","","","",befidesh,01: preparation,,
befidesh/facility-life-cycle/2_realization,befidesh/facility-life-cycle,2. Realisierungsphase,2. Realisation,"In der Realisierungsphase wird der Entwurf durch Vorbereitung, Bau und Inbetriebnahme in die Praxis umgesetzt.","The Realisation phase involves bringing the design to life through preparation, construction, and commissioning.","","","","","",befidesh,01: preparation,,
befidesh/facility-life-cycle/1.2.1_creating_technical_design,befidesh/facility-life-cycle,1.2.1 Erstellung des technischen Entwurfs,1.2.1 Technical Design Creation,"Entwicklung einer detaillierten technischen Dokumentation, einschließlich Schemata, Arbeitsabläufe und Systemanforderungen.","Developing detailed technical documentation, including schematics, workflows, and system requirements.","","","","","",befidesh,01: preparation,,
befidesh/facility-life-cycle/2.1_preparation,befidesh/facility-life-cycle,2.1 Vorbereitung,2.1 Preparation,"Die Beschaffung von Ressourcen, Materialien und Teams, die für den Bau oder die Implementierung benötigt werden.","Gathering resources, materials, and teams required for construction or implementation.","","","","","",befidesh,01: preparation,,
befidesh/facility-life-cycle/2.2_construction,befidesh/facility-life-cycle,2.2 Konstruktion,2.2 Construction,Der physische oder technische Aufbau des Projekts gemäß den Entwurfsspezifikationen.,The physical or technical build-out of the project according to the design specifications.,"","","","","",befidesh,01: preparation,,
befidesh/facility-life-cycle/2.3_commissioning,befidesh/facility-life-cycle,2.3 Inbetriebnahme,2.3 Commissioning,"Testen und Prüfen, ob das System oder Projekt wie vorgesehen funktioniert, bevor es in Betrieb genommen wird.",Testing and verifying that the system or project functions as intended before it goes live.,"","","","","",befidesh,01: preparation,,
befidesh/facility-life-cycle/3_operation_and_maintenance,befidesh/facility-life-cycle,3. Betrieb und Instandhaltung,3. Operation And Maintenance,Diese Phase konzentriert sich auf die laufende Nutzung und Pflege des Systems oder Projekts.,This phase focuses on the ongoing use and upkeep of the system or project.,"","","","","",befidesh,01: preparation,,
